day: day of measurement,,,,,,,,,
month: month of measurement,,,,,,,,,
year: year of measurement,,,,,,,,,
station: location of measurement     ,,,,,,,,,
"maxtp: Maximum Air Temperature (C)	  ",,,,,,,,,
mintp: Minimum  Air Temperature (C),,,,,,,,,
rain: Precipitation Amount (mm),,,,,,,,,
wdsp: Mean Wind Speed (knot),,,,,,,,,
hg: Highest Gust (knot),,,,,,,,,
sun: Sunshine duration (hours),,,,,,,,,
,,,,,,,,,
day,month,year,station,maxtp,mintp,rain,wdsp,hg,sun
10,jun,2021,Shannon Airport,19.6,14.4,0,10.7,26,2.3
11,jun,2021,Shannon Airport,16.9,11.2,0,9.6,21,3.8
12,jun,2021,Shannon Airport,20.3,11.6,0,6.5,15,1.4
13,jun,2021,Shannon Airport,21.5,12.3,0,5.5,19,2.1
14,jun,2021,Shannon Airport,16.5,9.3,0.1,7.8,21,7
15,jun,2021,Shannon Airport,21.5,8.8,2.8,9.6,22,1.4
16,jun,2021,Shannon Airport,17,11.4,0.2,9.6,20,6.5
17,jun,2021,Shannon Airport,16.9,8.1,0,8.9,22,13.3
18,jun,2021,Shannon Airport,16.6,4.9,0,4.3,16,7.9
19,jun,2021,Shannon Airport,17.2,8.5,0,7.5,19,1.4
20,jun,2021,Shannon Airport,19.7,11.2,0,7.3,23,1.3
21,jun,2021,Shannon Airport,17.8,8.7,0,11,25,11.6
22,jun,2021,Shannon Airport,15.3,6.5,3.9,5.4,17,1.4
23,jun,2021,Shannon Airport,18.5,10.8,0.8,7,14,2.2
24,jun,2021,Shannon Airport,16.9,10.7,3,8.2,22,1.4
25,jun,2021,Shannon Airport,14.8,8.3,0,8,21,0.9
26,jun,2021,Shannon Airport,17.5,7.2,0,7.3,20,4.7
27,jun,2021,Shannon Airport,21,7.8,0,7.7,18,9.6
28,jun,2021,Shannon Airport,20.5,10.5,0,7.9,19,12
29,jun,2021,Shannon Airport,21.4,10.6,0,7.5,18,11.1
30,jun,2021,Shannon Airport,22.5,8.8,0,3.9,15,9.3
1,jul,2021,Shannon Airport,17.8,10.7,0,4.8,13,3.3
2,jul,2021,Shannon Airport,19.2,12.3,2.6,6,22,0.3
3,jul,2021,Shannon Airport,18.8,14.1,17.4,6.8,19,1.2
4,jul,2021,Shannon Airport,16.7,11.6,7.2,7.5,20,0
5,jul,2021,Shannon Airport,18.3,10.2,18,6,17,3.4
6,jul,2021,Shannon Airport,15.6,11.8,9.2,10.5,24,0
7,jul,2021,Shannon Airport,19.1,13.2,0.1,8.6,21,5.7
8,jul,2021,Shannon Airport,16.2,12.5,0.8,4,12,0.1
9,jul,2021,Shannon Airport,17.5,13,0.7,6.5,17,0.2
10,jul,2021,Shannon Airport,21.1,14.6,0.8,5.1,16,0.9
11,jul,2021,Shannon Airport,19.6,13.6,13.7,6.2,18,4.4
12,jul,2021,Shannon Airport,20.6,14.3,0.6,6.9,19,3.8
13,jul,2021,Shannon Airport,20.1,14.6,0,5.5,17,5.7
14,jul,2021,Shannon Airport,20.5,14,0.1,6.7,16,0.6
15,jul,2021,Shannon Airport,20.5,14.4,0.1,5.4,13,0.6
16,jul,2021,Shannon Airport,25.5,13.7,0,3.6,15,
17,jul,2021,Shannon Airport,28.3,14.1,0,2.8,13,14.5
18,jul,2021,Shannon Airport,28.8,15.5,0,3.1,10,13.9
19,jul,2021,Shannon Airport,28.1,15.2,0,3.2,12,12
20,jul,2021,Shannon Airport,28.7,16.6,0,3.6,11,11.9
21,jul,2021,Shannon Airport,29.5,15.9,0,5.5,14,7
22,jul,2021,Shannon Airport,29.6,18.7,0,5.7,14,11.5
23,jul,2021,Shannon Airport,28.4,16,6.1,5.5,27,7.2
24,jul,2021,Shannon Airport,25.5,14.9,0,6.5,21,14.4
25,jul,2021,Shannon Airport,25.5,12.3,0,5.2,18,13.8
26,jul,2021,Shannon Airport,19.5,14.5,3.6,5.5,18,0.1
27,jul,2021,Shannon Airport,19.6,13.8,0.2,9.1,19,5.9
28,jul,2021,Shannon Airport,18.2,12.9,2.1,11.6,31,11.4
29,jul,2021,Shannon Airport,18.8,12.8,1.4,5.4,15,2.2
30,jul,2021,Shannon Airport,18.8,13.3,0.3,9.7,23,2.8
31,jul,2021,Shannon Airport,20.2,13.9,0.3,6.9,16,1.9
1,aug,2021,Shannon Airport,18,11.1,0,6.2,18,4.4
2,aug,2021,Shannon Airport,16.2,9.2,6.1,3.4,13,1.3
3,aug,2021,Shannon Airport,20.7,11,13,3.2,15,5.9
4,aug,2021,Shannon Airport,20.4,13.6,14.3,5.1,17,3.6
5,aug,2021,Shannon Airport,20,14.6,5,10.1,25,4.6
6,aug,2021,Shannon Airport,17.1,14.2,7.8,15,32,1.7
7,aug,2021,Shannon Airport,15.6,13.9,2.2,15.6,31,0
8,aug,2021,Shannon Airport,18.1,13.1,0.8,10.7,28,5.1
9,aug,2021,Shannon Airport,18.7,13,2.6,9.3,22,2.2
10,aug,2021,Shannon Airport,20.3,9.6,0,4.8,17,1.8
11,aug,2021,Shannon Airport,19,12.6,3.1,9.7,20,9.4
12,aug,2021,Shannon Airport,18.8,12.4,2.1,14,30,7.5
13,aug,2021,Shannon Airport,18.7,12.4,0,11.9,29,7.7
14,aug,2021,Shannon Airport,17.5,13.2,6.3,6.7,20,0
15,aug,2021,Shannon Airport,19.4,12.9,2.5,9,,6
16,aug,2021,Shannon Airport,16.7,13.3,0.5,9.7,22,2.1
17,aug,2021,Shannon Airport,16,12.4,0,9.2,20,0
18,aug,2021,Shannon Airport,17.1,12,0.4,5.6,16,2.9
19,aug,2021,Shannon Airport,21.2,13.9,2.1,5.4,15,4.7
20,aug,2021,Shannon Airport,20.5,14,10.2,7.5,22,0.7
21,aug,2021,Shannon Airport,19.7,14.7,1.3,8,21,6.5
22,aug,2021,Shannon Airport,19.4,13.6,0.2,3.2,13,2.4
23,aug,2021,Shannon Airport,24.1,16.2,0,2.8,9,9.2
24,aug,2021,Shannon Airport,24.3,12.8,0,5.3,24,13.2
25,aug,2021,Shannon Airport,23.8,11.6,0,4.3,15,11.8
26,aug,2021,Shannon Airport,25.3,13.5,0,2.5,9,11.6
27,aug,2021,Shannon Airport,23.7,14.2,0,3.1,11,7.8
28,aug,2021,Shannon Airport,21.7,13.4,0,3,10,6.5
29,aug,2021,Shannon Airport,19.4,13,0,4.8,14,0.1
30,aug,2021,Shannon Airport,18.3,13.9,0,6.5,16,0.1
31,aug,2021,Shannon Airport,18.1,12.5,0,6.7,17,0.2
1,sep,2021,Shannon Airport,18,12.8,0,5.5,15,0
2,sep,2021,Shannon Airport,18,13.1,0,5.8,14,0.1
3,sep,2021,Shannon Airport,17.4,12.9,0,3.3,14,0
4,sep,2021,Shannon Airport,19.9,11.5,0,5.2,16,4.7
5,sep,2021,Shannon Airport,20.2,15.9,0.1,6.5,15,0.3
6,sep,2021,Shannon Airport,22.8,15.4,0,4.2,11,9.6
7,sep,2021,Shannon Airport,27.9,13.9,0,5.1,15,9.8
8,sep,2021,Shannon Airport,21.3,16.7,5.4,4.1,13,0.6
9,sep,2021,Shannon Airport,21.6,16.4,10.5,3.9,11,3.8
10,sep,2021,Shannon Airport,17.5,14.1,0.4,8.5,19,0.3
11,sep,2021,Shannon Airport,18.2,12.4,0.3,6.3,16,0.6
12,sep,2021,Shannon Airport,17.4,11.1,0,4.2,16,1.8
13,sep,2021,Shannon Airport,18.4,13.6,1.4,7,17,0.4
14,sep,2021,Shannon Airport,17.4,15.1,12.4,5.2,13,0.1
15,sep,2021,Shannon Airport,17.1,12,0,4.5,13,1.7
16,sep,2021,Shannon Airport,20.3,12.1,0.1,10.2,23,1
17,sep,2021,Shannon Airport,18.7,9.6,8.5,5.8,27,5.6
18,sep,2021,Shannon Airport,17.3,8.8,5.6,4.9,16,2.5
19,sep,2021,Shannon Airport,17.3,10.7,2.7,6.7,22,7.5
20,sep,2021,Shannon Airport,18.7,13.6,0.1,5.5,17,4
21,sep,2021,Shannon Airport,17.1,14.4,0.6,6.1,17,0.2
22,sep,2021,Shannon Airport,19.4,14.5,1.1,10.8,26,5.1
23,sep,2021,Shannon Airport,18.1,13.3,0.4,8.5,19,8.5
24,sep,2021,Shannon Airport,17.8,15.5,0.9,9.9,21,0
25,sep,2021,Shannon Airport,20.5,14.3,0,5.9,16,3.1
26,sep,2021,Shannon Airport,19.1,11.7,2.3,9.4,24,1.3
27,sep,2021,Shannon Airport,15,9.6,3.1,11.2,34,5.8
28,sep,2021,Shannon Airport,14.8,7.9,3.8,8.2,31,6.3
29,sep,2021,Shannon Airport,14.4,6.9,7.9,7.8,24,4.9
30,sep,2021,Shannon Airport,15.6,12.7,4.4,13.4,33,0
1,oct,2021,Shannon Airport,14.8,9,3.6,12.6,35,6.2
2,oct,2021,Shannon Airport,13.2,8.5,3.8,9.4,24,7.1
3,oct,2021,Shannon Airport,14.4,9.2,13.2,11.6,30,5.7
4,oct,2021,Shannon Airport,14.1,7.6,10.3,6,18,2
5,oct,2021,Shannon Airport,15,7.3,0.2,8.1,26,9.2
6,oct,2021,Shannon Airport,17,10.3,1.4,7.7,18,0
7,oct,2021,Shannon Airport,19.2,16,7.5,10.3,23,0.2
8,oct,2021,Shannon Airport,17.7,14.9,20.2,9.5,22,0.2
9,oct,2021,Shannon Airport,18.2,10.8,3,6.7,24,6.5
10,oct,2021,Shannon Airport,16.2,7.2,0.2,2.7,15,6.6
11,oct,2021,Shannon Airport,15.3,6,0.2,2.6,13,4.7
12,oct,2021,Shannon Airport,15.9,10.4,0,1.9,10,0.6
13,oct,2021,Shannon Airport,14.5,8.4,0,4.1,14,1.6
14,oct,2021,Shannon Airport,16,6.4,0,3.2,15,2
15,oct,2021,Shannon Airport,14.2,10.8,0.6,4.6,15,0.1
16,oct,2021,Shannon Airport,15.4,10.2,3.1,9.1,22,0
17,oct,2021,Shannon Airport,16.5,13.4,0.4,6.8,21,1.6
18,oct,2021,Shannon Airport,18.7,14.6,4.6,9.6,24,2.7
19,oct,2021,Shannon Airport,19,10.4,1.5,10.2,37,3
20,oct,2021,Shannon Airport,13.6,8.9,8.7,5.4,27,4.2
21,oct,2021,Shannon Airport,12.4,4.5,0,7.2,24,8
22,oct,2021,Shannon Airport,12.9,9.4,0.1,8.5,17,0.7
23,oct,2021,Shannon Airport,14.4,9.2,6.1,12.7,31,0
24,oct,2021,Shannon Airport,15.7,9.8,4.9,10,24,6.7
25,oct,2021,Shannon Airport,13.8,8.6,2.4,9.2,22,5.5
26,oct,2021,Shannon Airport,17.7,10.5,4.4,14.5,33,0.9
27,oct,2021,Shannon Airport,15.8,12.4,10.3,6.9,17,0
28,oct,2021,Shannon Airport,14.4,10.1,8,4.1,16,1.3
29,oct,2021,Shannon Airport,13.6,6.2,2.3,5.1,19,4.6
30,oct,2021,Shannon Airport,12.3,5.5,4.9,8,26,6.5
31,oct,2021,Shannon Airport,11.9,7.1,5.8,13.1,39,2.1
1,nov,2021,Shannon Airport,9.7,5.9,10.3,6.3,22,1.2
2,nov,2021,Shannon Airport,12.1,4.7,2.8,4.9,22,6.8
3,nov,2021,Shannon Airport,11.6,4.6,0.2,7.1,24,5.5
4,nov,2021,Shannon Airport,11.1,4.2,0,4.7,14,6.3
5,nov,2021,Shannon Airport,11.9,8.2,0.3,5.8,16,0.2
6,nov,2021,Shannon Airport,13.8,9.2,1.8,10.8,30,0
7,nov,2021,Shannon Airport,12.7,8.6,0,5.7,14,4.1
8,nov,2021,Shannon Airport,17.1,10.4,3.5,8.3,19,3.9
9,nov,2021,Shannon Airport,14.1,10.6,1.9,5.8,15,1.9
10,nov,2021,Shannon Airport,12.6,8,0.2,2.8,9,0.4
11,nov,2021,Shannon Airport,15.8,7.2,5.9,12.8,34,1.9
12,nov,2021,Shannon Airport,12.9,10.4,3.9,14.6,34,1
13,nov,2021,Shannon Airport,13.7,10.4,0.2,4.9,17,0
14,nov,2021,Shannon Airport,17.7,11,1.6,5.9,18,5.7
15,nov,2021,Shannon Airport,11.5,8.7,1,3.4,12,0.6
16,nov,2021,Shannon Airport,12.6,8.3,0.3,8.7,20,0.3
17,nov,2021,Shannon Airport,11.8,8.7,0,8.6,22,0.4
18,nov,2021,Shannon Airport,14.1,11.7,0.4,8.8,21,0
19,nov,2021,Shannon Airport,12.1,10.2,0.4,5.4,15,0
20,nov,2021,Shannon Airport,12.2,4.4,0.9,6.3,23,0.3
21,nov,2021,Shannon Airport,9.2,1.8,0.1,5,19,6.9
22,nov,2021,Shannon Airport,8.2,-0.2,0,2.4,13,7.9
23,nov,2021,Shannon Airport,5.7,-1.2,0.1,2,9,3.2
24,nov,2021,Shannon Airport,8.7,0.4,2.8,6.2,24,3.4
25,nov,2021,Shannon Airport,8.5,1.2,0.4,6,26,1.3
26,nov,2021,Shannon Airport,10.1,2.7,3.4,15.7,43,3.3
27,nov,2021,Shannon Airport,6,1.1,0,8.2,27,1.9
28,nov,2021,Shannon Airport,10.7,2,1,4.7,17,0
29,nov,2021,Shannon Airport,11.7,6.5,0.3,5.8,18,5.7
30,nov,2021,Shannon Airport,11.1,9,9.9,12,38,0
1,dec,2021,Shannon Airport,9.4,3.4,0.4,11.8,,4.6
2,dec,2021,Shannon Airport,11.6,3.2,5.5,6.8,21,1.4
3,dec,2021,Shannon Airport,11.1,6.7,1.1,5.7,24,0
4,dec,2021,Shannon Airport,7,3.8,3.2,10.8,32,1.7
5,dec,2021,Shannon Airport,8.9,3.1,2.2,5.1,17,5.4
6,dec,2021,Shannon Airport,9.1,3.9,3.7,9.2,34,3.3
7,dec,2021,Shannon Airport,9.9,3.7,18.4,25.8,61,0.2
8,dec,2021,Shannon Airport,7.6,4,5.8,17.5,49,3.8
9,dec,2021,Shannon Airport,11,4.4,7.7,10.1,35,0.2
10,dec,2021,Shannon Airport,8.4,4.3,1.2,8.5,28,1.5
11,dec,2021,Shannon Airport,12.5,6,5.3,8.4,23,0
12,dec,2021,Shannon Airport,13.9,7.2,1.6,11.4,39,0.8
13,dec,2021,Shannon Airport,7.2,2.1,0.1,3.2,10,0.5
14,dec,2021,Shannon Airport,11.5,1.3,0.1,6.3,13,6.8
15,dec,2021,Shannon Airport,12.9,4.8,0.2,6.3,11,6.2
16,dec,2021,Shannon Airport,10,5.5,0.1,6.4,14,0
17,dec,2021,Shannon Airport,9.8,5.9,0,7.5,23,4.9
18,dec,2021,Shannon Airport,8.5,6.1,0,6,17,0
19,dec,2021,Shannon Airport,7.3,1.9,0,3.9,13,1
20,dec,2021,Shannon Airport,8,1.5,0.1,6.8,19,0
21,dec,2021,Shannon Airport,9.1,6.1,0,10,24,0
22,dec,2021,Shannon Airport,12,7.5,5.8,11.7,29,0
23,dec,2021,Shannon Airport,12.6,8.5,0.2,8.7,29,3.5
24,dec,2021,Shannon Airport,11.5,7.6,3.7,9.2,22,2.5
25,dec,2021,Shannon Airport,11.9,8,13.3,7.9,21,0.9
26,dec,2021,Shannon Airport,11,4.4,2.9,6.3,16,2.3
27,dec,2021,Shannon Airport,8.8,2.5,0.2,6.6,18,0
28,dec,2021,Shannon Airport,8.5,5.4,9.6,5.2,20,0.4
29,dec,2021,Shannon Airport,13.6,7.9,6.8,12.5,43,1.5
30,dec,2021,Shannon Airport,13.7,11,12.9,7.1,24,0
31,dec,2021,Shannon Airport,14.3,12.2,0.2,13.2,33,0.1
1,jan,2021,Cork Airport,5,0.9,0,12.1,28,6.9
2,jan,2021,Cork Airport,5.1,-0.4,0.1,8.8,17,0.2
3,jan,2021,Cork Airport,2.6,-1.6,0.1,10.8,21,6.3
4,jan,2021,Cork Airport,3.3,-0.7,0,10.8,22,4
5,jan,2021,Cork Airport,4,0.6,0,10.2,20,2.8
6,jan,2021,Cork Airport,2.4,-1.7,0,9.8,17,6.2
7,jan,2021,Cork Airport,4,-1.4,0.7,6.9,18,5
8,jan,2021,Cork Airport,2.3,-1.9,0.1,10.5,26,7.5
9,jan,2021,Cork Airport,3.9,-2.7,0,5.2,13,7.5
10,jan,2021,Cork Airport,6.3,0.3,0,5.2,17,4.1
11,jan,2021,Cork Airport,9.3,1.5,0,11,29,0.1
12,jan,2021,Cork Airport,10.9,8.5,0,9.1,23,0
13,jan,2021,Cork Airport,10.2,8.8,1.4,11.2,24,0
14,jan,2021,Cork Airport,9.5,4.7,0.1,9.5,22,5.1
15,jan,2021,Cork Airport,10.1,2.6,19.6,9.5,29,0
16,jan,2021,Cork Airport,10.7,3.4,0.3,10.9,28,3.1
17,jan,2021,Cork Airport,7.4,1.1,0,5.6,17,2.7
18,jan,2021,Cork Airport,10.6,1.9,4.8,7.5,28,0
19,jan,2021,Cork Airport,10.4,8.8,16.5,16.2,32,0
20,jan,2021,Cork Airport,9.7,1.5,14,10.2,23,0.6
21,jan,2021,Cork Airport,6.8,0.3,0,7.8,18,6.7
22,jan,2021,Cork Airport,5.6,0.2,0.6,6.7,19,4.6
23,jan,2021,Cork Airport,5.2,-1,2.1,5.6,17,6.3
24,jan,2021,Cork Airport,3.9,-1,0.3,10.8,31,6.6
25,jan,2021,Cork Airport,5.7,-1.5,0.6,4.3,24,3.8
26,jan,2021,Cork Airport,9.7,4.9,11.2,7.5,23,0
27,jan,2021,Cork Airport,10.7,8.6,5.4,7.7,28,0
28,jan,2021,Cork Airport,10.9,8,2.1,13.8,32,0
29,jan,2021,Cork Airport,10.6,6.7,11.4,13.4,38,5.1
30,jan,2021,Cork Airport,7.3,3.9,16.5,14.1,37,0
31,jan,2021,Cork Airport,8.9,4.1,13.9,10,24,0
1,feb,2021,Cork Airport,9.8,5.9,16.4,9.5,27,0
2,feb,2021,Cork Airport,9.9,5.5,5.8,13.8,34,0
3,feb,2021,Cork Airport,9.2,1.5,0.2,12.2,31,5.1
4,feb,2021,Cork Airport,9.8,5.6,4.8,9.7,26,3.6
5,feb,2021,Cork Airport,7,3.4,0.5,9,22,6.9
6,feb,2021,Cork Airport,7.2,2.6,0,7.8,19,1.6
7,feb,2021,Cork Airport,4.5,1.6,1.1,14,31,0
8,feb,2021,Cork Airport,2.3,0.3,0.6,15.3,32,0
9,feb,2021,Cork Airport,1.9,0.5,0.1,19.4,38,0
10,feb,2021,Cork Airport,2.4,-1.1,1.1,13.6,30,0
11,feb,2021,Cork Airport,3,0.5,18.3,21.4,40,0
12,feb,2021,Cork Airport,4.4,2.9,17.1,19.1,44,0
13,feb,2021,Cork Airport,9,4.2,24.4,22,45,0
14,feb,2021,Cork Airport,11.2,7.8,10.3,18.5,44,1.1
15,feb,2021,Cork Airport,11.1,8.1,5.1,16,35,2.8
16,feb,2021,Cork Airport,9.9,6.4,10.6,14.2,34,4.3
17,feb,2021,Cork Airport,9.1,2.4,15.4,13.2,40,2.5
18,feb,2021,Cork Airport,8,1.3,8,13.4,36,4.1
19,feb,2021,Cork Airport,10.1,6.5,37.8,17.8,45,0
20,feb,2021,Cork Airport,10.2,5.8,4.6,16.1,45,0.3
21,feb,2021,Cork Airport,9.9,2.8,0.5,8.5,27,7.4
22,feb,2021,Cork Airport,9.6,2.3,14.1,12.4,44,5.3
23,feb,2021,Cork Airport,11.1,8.5,33.2,21,48,0
24,feb,2021,Cork Airport,9.4,2.5,4.8,10.7,30,0.1
25,feb,2021,Cork Airport,9.6,1.8,0.7,6.2,21,8.1
26,feb,2021,Cork Airport,10.6,2.2,0.2,6.8,24,4.3
27,feb,2021,Cork Airport,9.4,4.2,0,3.7,10,0.1
28,feb,2021,Cork Airport,9.6,0.3,0.2,6.8,17,9.6
1,mar,2021,Cork Airport,7.3,3.9,0,9.2,21,0.2
2,mar,2021,Cork Airport,7,4,0,8.5,20,0.2
3,mar,2021,Cork Airport,7,3.4,0,5.7,14,0
4,mar,2021,Cork Airport,4,2.2,0,5,13,0
5,mar,2021,Cork Airport,7.5,2.2,0,8.5,19,0.9
6,mar,2021,Cork Airport,6.6,1,0,5.2,16,0
7,mar,2021,Cork Airport,7.1,0.4,0,3.2,11,1.7
8,mar,2021,Cork Airport,9.7,0.6,1.1,6.7,20,6.5
9,mar,2021,Cork Airport,9.2,6.6,6.1,14.7,39,0
10,mar,2021,Cork Airport,11.7,7.6,8.1,19.6,50,0
11,mar,2021,Cork Airport,8.4,2.9,5.2,16.5,46,6.7
12,mar,2021,Cork Airport,9.4,2.9,8.9,15.6,41,4.2
13,mar,2021,Cork Airport,7.5,0.2,8.1,15,40,7.4
14,mar,2021,Cork Airport,11.2,2.8,0,12,30,1.8
15,mar,2021,Cork Airport,14.5,7.1,0,6.9,19,1.4
16,mar,2021,Cork Airport,14.8,7.8,0,8.5,22,7.3
17,mar,2021,Cork Airport,13.2,4.9,0,9.6,26,6.9
18,mar,2021,Cork Airport,11.8,7.3,0,13,28,2.5
19,mar,2021,Cork Airport,14.3,7.3,0,8.5,27,8.3
20,mar,2021,Cork Airport,12.7,7.1,0,6.6,18,0.7
21,mar,2021,Cork Airport,11.1,6.8,0,4.8,13,1
22,mar,2021,Cork Airport,9,6.2,0.3,6.4,17,0.2
23,mar,2021,Cork Airport,10.8,3,0.4,11.8,33,0.6
24,mar,2021,Cork Airport,11.9,1.5,0.2,10.8,32,5.5
25,mar,2021,Cork Airport,11.8,3.8,8.7,13.2,30,1.9
26,mar,2021,Cork Airport,8.2,1,5,13.5,41,7.7
27,mar,2021,Cork Airport,9.6,1.1,5,16.5,42,1.9
28,mar,2021,Cork Airport,11.1,9.5,9.1,21,40,0
29,mar,2021,Cork Airport,12.2,8.3,0.8,17,37,0.2
30,mar,2021,Cork Airport,12.7,6.8,0.3,4.4,13,7
31,mar,2021,Cork Airport,16,4.8,0.2,4.1,13,8
1,apr,2021,Cork Airport,14.1,6.6,0.1,9.7,24,1.2
2,apr,2021,Cork Airport,12.4,5.2,0,6.8,19,8
3,apr,2021,Cork Airport,11,2.8,0,6,17,11.5
4,apr,2021,Cork Airport,14.3,3.6,0,9.5,30,11.4
5,apr,2021,Cork Airport,8.2,0.5,0.2,12.1,30,3
6,apr,2021,Cork Airport,8,-0.5,0,9.8,28,10.2
7,apr,2021,Cork Airport,10.3,2.1,2.6,8,21,5.1
8,apr,2021,Cork Airport,10.1,2.2,0.1,8.8,24,3.3
9,apr,2021,Cork Airport,9.1,3.3,2.4,5.7,18,0.1
10,apr,2021,Cork Airport,8.8,-0.3,0,9.6,24,10
11,apr,2021,Cork Airport,9.1,-0.5,0.1,9.7,23,12.4
12,apr,2021,Cork Airport,11.2,3.1,2,5.7,19,4.8
13,apr,2021,Cork Airport,11.9,2.4,0,5.5,14,12.9
14,apr,2021,Cork Airport,11.5,3.6,0.1,5.3,15,9.4
15,apr,2021,Cork Airport,12.4,3.6,0.1,6.1,16,11.2
16,apr,2021,Cork Airport,9.3,3,0,8.7,22,1.7
17,apr,2021,Cork Airport,10.5,6.6,0.8,9.5,24,4.3
18,apr,2021,Cork Airport,9.3,6.5,0.9,7,17,0
19,apr,2021,Cork Airport,9.5,6.9,5.8,7.5,17,0
20,apr,2021,Cork Airport,10,7.8,0.2,3,9,0
21,apr,2021,Cork Airport,13.5,5.4,0.2,9.6,23,12.6
22,apr,2021,Cork Airport,12.2,6.6,0,12.5,26,10.4
23,apr,2021,Cork Airport,13.1,6.3,0,14.5,29,8.8
24,apr,2021,Cork Airport,13.9,7.9,0,,26,12.8
25,apr,2021,Cork Airport,12.6,6.8,0,11.1,27,13.8
26,apr,2021,Cork Airport,15.3,4.6,0,6.4,19,13.7
27,apr,2021,Cork Airport,12.1,6.7,1.4,10.5,25,4
28,apr,2021,Cork Airport,10.5,5.9,0,10,25,3.6
29,apr,2021,Cork Airport,11.2,3.5,0.7,5.3,17,4.6
30,apr,2021,Cork Airport,10.2,1.9,0.5,4.5,17,5.2
1,may,2021,Cork Airport,10.8,3.8,0,4.5,16,2.2
2,may,2021,Cork Airport,12.9,3.9,0,6.2,19,7.1
3,may,2021,Cork Airport,12.8,6.3,12.1,21,47,2.8
4,may,2021,Cork Airport,10.9,3.9,0,16,36,12.6
5,may,2021,Cork Airport,10.2,3,0.7,8.6,19,7.7
6,may,2021,Cork Airport,11.2,2.1,0,8.3,21,12.4
7,may,2021,Cork Airport,10.7,2.5,11.9,12.3,40,8.2
8,may,2021,Cork Airport,14.4,7.7,11.2,15.4,32,7.5
9,may,2021,Cork Airport,12.3,8.9,7.1,15.7,39,2.4
10,may,2021,Cork Airport,12.5,6.1,8.1,11.3,30,2.7
11,may,2021,Cork Airport,12.6,5.9,5.7,9.4,23,7.9
12,may,2021,Cork Airport,13,7.2,3.3,7.1,20,5.1
13,may,2021,Cork Airport,14.4,5.3,0,9.9,21,12.2
14,may,2021,Cork Airport,12.2,6,9.5,8.4,25,5.7
15,may,2021,Cork Airport,13.7,6.4,7.5,8.8,26,4.7
16,may,2021,Cork Airport,14.4,6.7,3.8,6.4,20,5.8
17,may,2021,Cork Airport,13.4,6.6,8.8,6.2,20,5.6
18,may,2021,Cork Airport,13.4,6.6,4.5,4.3,22,7.6
19,may,2021,Cork Airport,13.9,6,2,7.3,22,7.1
20,may,2021,Cork Airport,12,7.7,28.6,23,48,0.2
21,may,2021,Cork Airport,11.4,7,1.1,14.4,32,0.1
22,may,2021,Cork Airport,13,4.8,0.1,8.6,23,10
23,may,2021,Cork Airport,12,3.7,16,10.1,43,4.7
24,may,2021,Cork Airport,13.3,4.5,0.1,14.8,32,10.1
25,may,2021,Cork Airport,12.3,7.6,9,7.4,22,0.1
26,may,2021,Cork Airport,14.3,6.1,0.1,5.9,16,12.5
27,may,2021,Cork Airport,11.2,6.3,19.1,9.2,22,0
28,may,2021,Cork Airport,15.7,6.1,2.4,7.3,19,2.8
29,may,2021,Cork Airport,16,6.1,0,3.1,11,7
30,may,2021,Cork Airport,19,8.9,0,5.5,14,15.2
31,may,2021,Cork Airport,15.8,9.7,0,9.2,21,6.3
1,jun,2021,Cork Airport,19.3,10.6,0,6.5,16,8.1
2,jun,2021,Cork Airport,16.3,11.2,2.9,7,15,0.9
3,jun,2021,Cork Airport,12.9,9,2,10.7,29,3.2
4,jun,2021,Cork Airport,15,8.1,3.5,8.6,21,3.1
5,jun,2021,Cork Airport,16.8,10.3,0.5,5.8,18,2.8
6,jun,2021,Cork Airport,16.3,8.8,0,6.4,15,8.7
7,jun,2021,Cork Airport,15.2,8,0.5,8.2,21,2.8
8,jun,2021,Cork Airport,14.1,12.4,5,9.8,23,0
9,jun,2021,Cork Airport,17.4,12.5,4.9,9.5,20,0.3
10,jun,2021,Cork Airport,15.4,12.9,2.9,11.7,24,0
11,jun,2021,Cork Airport,19.6,11.1,0.4,8.4,20,9.3
12,jun,2021,Cork Airport,20.9,9.8,0,4.6,13,10.2
13,jun,2021,Cork Airport,22.2,13.3,0,5.8,16,14.4
14,jun,2021,Cork Airport,19.9,10.8,0,8.1,20,11.7
15,jun,2021,Cork Airport,14.8,9.8,0.5,8.2,24,0.9
16,jun,2021,Cork Airport,16.7,9.9,1.3,8.1,20,5.4
17,jun,2021,Cork Airport,17.1,8.4,0,11,25,13.7
18,jun,2021,Cork Airport,16.7,6.9,0,7.9,22,10.4
19,jun,2021,Cork Airport,14.6,7,0,8.4,24,1.9
20,jun,2021,Cork Airport,16.5,11.4,3.8,7.6,21,0.5
21,jun,2021,Cork Airport,17.9,9.9,0,13.2,29,9.3
22,jun,2021,Cork Airport,16.7,6.7,3,8.5,19,5.5
23,jun,2021,Cork Airport,18.5,9.2,3.9,6.3,21,0.4
24,jun,2021,Cork Airport,20.6,10.5,2.2,9.3,22,5.1
25,jun,2021,Cork Airport,14.1,8.7,0.1,11.7,28,5
26,jun,2021,Cork Airport,16.1,9,0,11.6,24,3.4
27,jun,2021,Cork Airport,20.8,9.9,0,11.7,25,14.3
28,jun,2021,Cork Airport,20,11.1,0,11.3,20,3
29,jun,2021,Cork Airport,21.6,10.3,0,9.7,24,15.1
